Type,CiscoPID,Vendor,MFGPartNumber,SerialNumber
CWDM-SFP-10G1590,10-2955-01,CISCO-SUMITOMO,SPP5200CP-C1-59,ECL180400DG
CWDM-SFP-10G1590,10-2955-01,CISCO-SUMITOMO,SPP5200CP-C1-59,SPC220400K0
SFP-10G-AOC5M,10-2844-01,CISCO-AVAGO,AFBR-7CER05Z-CS1,AVE1725K3BH-A
SFP-10G-AOC5M,10-2844-01,CISCO-AVAGO,AFBR-7CER05Z-CS1,AVE1725K3BH-B
SFP-10G-AOC1M,10-2843-01,CISCO-AVAGO,AFBR-7CER01Z-CS1,AVE1717K13N-B
SFP-10G-AOC1M,10-2843-01,CISCO-AVAGO,AFBR-7CER01Z-CS1,AVE1717K13N-A
SFP-H10GB-CU1M,37-0960-03,CISCO-TYCO,1-2053783-1,TED1745A075
SFP-H10GB-CU1M,37-0960-03,CISCO-TYCO,1-2053783-1,TED1745A075
SFP-H10GB-ACU10M,37-1150-02,CISCO-TYCO,2163675-2,TED1737U2JE
SFP-H10GB-ACU10M,37-1150-02,CISCO-TYCO,2163675-2,TED1737U2JE
SFP-H10GB-ACU7M,37-1149-02,CISCO-LOROM,LRHSPB34D070,LRM2101A0EW
SFP-H10GB-ACU7M,37-1149-02,CISCO-LOROM,LRHSPB34D070,LRM2101A0EW
SFP-H10GB-CU3M,37-0961-03,CISCO-MOLEX,74752-9520,MOC171106C1
SFP-H10GB-CU3M,37-0961-03,CISCO-MOLEX,74752-9520,MOC171106C1
SFP-10G-AOC7M,10-2845-01,CISCO-AVAGO,AFBR-2CAR07Z-CS1,A4Z2050K0JZ-B
SFP-10G-AOC7M,10-2845-01,CISCO-AVAGO,AFBR-2CAR07Z-CS1,A4Z2050K0JZ-A
SFP-H10GB-CU2M,37-1430-02,CISCO-LOROM,LRHSPB54D020,LRM204460C9
SFP-H10GB-CU2M,37-1430-02,CISCO-LOROM,LRHSPB54D020,LRM204460C9
SFP-H10GB-CU5M,37-0962-03,CISCO-LEONI,L45593-C107-B50,LCC2339GK4N
SFP-H10GB-CU5M,37-0962-03,CISCO-LEONI,L45593-C107-B50,LCC2339GK4N
QSFP-100G-SR4-S,10-3142-03,CISCO-AVAGO,SFBR-89CDDZ-CS5,AVF2236S4CD
QSFP-100G-SR4-S,10-3142-01,CISCO-AVAGO,AFBR-89CDDZ-CS1,AVF2124G2A9
QSFP-100G-SR4-S,10-3142-03,CISCO-AVAGO,SFBR-89CDDZ-CS5,AVF2236S4CU
QSFP-100G-SR4-S,10-3142-03,CISCO-AVAGO,SFBR-89CDDZ-CS5,AVF2418S0WG
QSFP-100G-SR4-S,10-3142-01,CISCO-AVAGO,AFBR-89CDDZ-CS1,AVF2124G29E
QSFP-100G-SR4-S,10-3142-03,CISCO-AVAGO,SFBR-89CDDZ-CS5,AVF2418S0WH
SFP-25G-CU1M,37-1790-01,CISCO-AMPHENOL,NDCCGF-C401,APF2410006W
QSFP-40G-AOC10M,10-2926-03,CISCO-FINISAR,FCBN410QE2C10-C3,FIW2340024R
QSFP-100G-CWDM4,10-3145-02,CISCO-LUMENTUM,JQ2R10GC4AA1CS2,JFQ223180AS
QSFP-100G-CWDM4,10-3145-02,CISCO-LUMENTUM,JQ2R10GC4AA1CS2,JFQ22338018
QSFP-40G_100G-SRBD,10-3317-01,CISCO-FOIT,SFBR-89BDDZ-CS2,FOF2213N195
QSFP-40G_100G-SRBD,10-3317-01,CISCO-FOIT,SFBR-89BDDZ-CS2,FOF2213N18G
QSFP-40GE-LR4,10-2848-01,CISCO-FINISAR,FTL4C1QE1C-C1,FNS17441E57
QSFP-40GE-LR4,10-2848-01,CISCO-SUMITOMO,SQF0403L4LNC10P,ECL16530036
QSFP-40G-AOC10M,10-2926-03,CISCO-FINISAR,FCBN410QE2C10-C3,FIW2340024R
QSFP-100G-ERL-S,10-3536-01,CISCO-CISCO,800-50394-01,FBN2538F178
QSFP-100G-ERL-S,10-3536-01,CISCO-CISCO,800-50394-01,FBN2538F134
QSP-100G-LR-S,800-49416-01,CISCO-CISCO,800-49416-01,FBN2431B056
QSP-100G-LR-S,800-49416-01,CISCO-CISCO,800-49416-01,FBN2415B014
QSFP-100G-FR-S,10-3248-02,CISCO-CISCO,800-46714-02,FBN2446A647
QSFP-100G-FR-S,10-3248-02,CISCO-CISCO,800-46714-02,FBN2446A615
QSFP-100G-ERL-S,10-3536-01,CISCO-CISCO,800-50394-01,FBN2521F052
QSFP-100G-ERL-S,10-3536-01,CISCO-CISCO,800-50394-01,FBN2538F171
QSFP-100G-SR1.2,10-3517-01,CISCO-INNOLIGHT,T-TB2FNS-HCI,INL26350N1T
QSFP-100G-SR1.2,10-3517-01,CISCO-INNOLIGHT,T-TB2FNS-HCI,INL26350N1S
QSFP-100G-LR-S,800-49416-01,CISCO-CISCO,800-49416-01,FBN2431B056
QSFP-100G-LR-S,800-49416-01,CISCO-CISCO,800-49416-01,FBN2415B014
QSFP-100G-LR-S,10-3481-01,CISCO-CISCO,800-49416-02,FBN2623B0B9
QSFP-100G-PSM4,10-3144-01,CISCO-LUXTERA,LUX42604BO,CVR22400005
QSFP-100G-PSM4,10-3144-01,CISCO-LUXTERA,LUX42604BO,CVR22400006
QSFP-100G-DR-S,10-3507-01,CISCO-INNOLIGHT,TR-ZC13H-NCI,INL24393713
QSFP-40G_100G-SRBD,10-3317-01,CISCO-FOIT,SFBR-89BDDZ-CS2,FOF2213N1A1
QSFP-40G_100G-SRBD,10-3317-01,CISCO-FOIT,SFBR-89BDDZ-CS2,FOF2213N18S
CAZADERO,800-49781-01,CISCO-DNI,CAZADERO28-R,DTY252100LC
SFP-25G-SR-S,10-3227-01,CISCO-INNOLIGHT,TR-PY85S-NCI,INL2211A02M
SFP-25G-SR-S,10-3227-01,CISCO-FINISAR,FTLF8536P4PCL-C1,FNS231206SK
QSFP-40_100G-SR4,10-3318-01,CISCO-INNOLIGHT,TR-FD85S-NCI,INL23051068
QSFP-40_100G-SR4,10-3318-01,CISCO-INNOLIGHT,TR-FD85S-NCI,INL23051056
WSP-Q40GLR4L,10-3063-01,CISCO-FINISAR,FTL4C1QL1C-C1,FNS19030376
WSP-Q40GLR4L,10-3063-01,CISCO-FINISAR,FTL4C1QL1C-C1,FNS19030367
QSFP28-100G-SMSR,10-3220-02,CISCO-FINISAR,FTLC1152RGPL6-C2,FNS22420BFQ
QSFP28-100G-SMSR,10-3220-02,CISCO-FINISAR,FTLC1152RGPL6-C2,FNS22420BFU
QSFP-100G-PSM4,10-3144-01,CISCO-LUXTERA,LUX42604BO,CVR2240000A
QSFP-100G-PSM4,10-3144-01,CISCO-LUXTERA,LUX42604BO,CVR22400004
SFP-25G-SR,10-3227-01,CISCO-AVAGO,SFBR-725SMZ-CS1,AVD2132E01B
SFP-25G-SR,10-3227-01,CISCO-AVAGO,SFBR-725SMZ-CS1,AVD2113E080
SFP-10G-T-X,30-1599-01,CISCO-METHODE,SP7052-C,MTC250902JK
SFP-10G-T-X,30-1599-01,CISCO-METHODE,SP7052-C,MTC250902JB
10G-LRM,10-2456-01,CISCO-EXCELIGHT,SPP5101LM-C1,ECL130601VH
10G-LRM,10-2456-03,CISCO-OPLINK,TPP1XGFLMCCISE2G,OPM2420005S
QSFP28_100G_CWDM4,10-3145-01,CISCO-LUMENTUM,JQ2R10GC4AA1CS,JFQ2137300M
QSFP28_100G_CWDM4,10-3145-01,CISCO-LUMENTUM,JQ2R10GC4AA1CS,JFQ2136303F
DWDM-SFP10G-61.41,10-2746-01,CISCO-SUMITOMO,SPP5100DMC1-F200,ECL1751018G
DWDM-SFP10G-61.41,10-2746-01,CISCO-FUJITSU,FIM35060/201W20,FLJ1751K00J
SFP-10G-LR-X,10-2632-01,CISCO-SUMITOMO,SPP5310LR-C5-M,SPC223200WM
SFP-10G-LR-S,10-3107-01,CISCO-ACCELINK,RTXM228-401-C88,ACW22360APK
SFP-10G-ER-S,10-3109-01,CISCO-FINISAR,FTLX1672D3BCL-C7,FNS25120UXH
SFP-10G-ER-S,10-3109-01,CISCO-OCLARO,TRS7050EN-S131,ONT2229000W
DWDM-SFP10G-C-S,10-3113-01,CISCO-OCLARO,TRS7081FNCGA030,ONT2327000A
DWDM-SFP10G-C,10-3036-01,CISCO-OCLARO,TRS7080FNCCA033,ONT2635004E
SFP-10G-AOC7M,10-2845-01,CISCO-AVAGO,AFBR-2CAR07Z-CS1,A4Z2201K02R
SFP-10G/25G-LR-S,10-3251-01,CISCO-OPLINK,TPP1E2JLRCCISE2G,OPM2219024X
SFP-10G/25G-LR-S,10-3251-01,CISCO-OPLINK,TPP1E2JLRCCISE2G,OPM22190252
DWDM-SFP10G-C-S,10-3113-01,CISCO-OCLARO,TRS7081FNCGA030,ONT23160001
DWDM-SFP10G-C-S,10-3113-01,CISCO-OCLARO,TRS7081FNCGA030,ONT2315006J
DWDM-SFP10G-61.41,10-2746-01,CISCO-SUMITOMO,SPP5100DMC1-F200,ECL1736004W
DWDM-SFP10G-61.41,10-2746-01,CISCO-SUMITOMO,SPP5100DMC1-F200,ECL1745005N
FET-10G,10-2566-02,CISCO-FINISAR,FTLX8570D3BCL-C2,FNS18050AHD
FET-10G,10-2566-02,CISCO-FINISAR,FTLX8570D3BCL-C2,FNS1806163D
SFP-10G-ER-S,10-3109-01,CISCO-FINISAR,FTLX1672D3BCL-C7,FNS25120GKG
SFP-10G-ER-S,10-3109-01,CISCO-OCLARO,TRS7050EN-S131,ONT201400JU
SFP-10G-ZR-S,10-3111-01,CISCO-SUMITOMO,SPP5110ZR-C7,ECL22390049
SFP-10G-ZR-S,10-3111-01,CISCO-FUJITSU,FIM35051/207,FLJ2026K01B
SFP-10G-SR-S,10-3105-01,CISCO-AVAGO,SFBR-709SMZ-CS2,AVD2133D1V9
SFP-10G-SR-S,10-3105-01,CISCO-AVAGO,SFBR-709SMZ-CS2,AVD2143D07E
SFP-10G/25G-CSR-S,10-3388-01,CISCO-FINISAR,FTLF8540P4PCV-C1,FNS23030VXF
SFP-10G/25G-CSR-S,10-3388-01,CISCO-FINISAR,FTLF8540P4PCV-C1,FNS23030SXL
SFP-25G-SR,10-3227-01,CISCO-INNOLIGHT,TR-PY85S-NCI,INL2211A02M
SFP-25G-SR,10-3227-01,CISCO-FINISAR,FTLF8536P4PCL-C1,FNS222902S0
SFP-25G-AOC7M,10-3240-01,CISCO-INNOLIGHT,TF-PY007-NCI,INL2143A02H
SFP-10G/25G-CSR-S,10-3388-01,CISCO-FINISAR,FTLF8540P4PCV-C1,FNS21470DNF
SFP-10G/25G-CSR-S,10-3388-01,CISCO-FINISAR,FTLF8540P4PCV-C1,FNS21470DKT
QSFP-H40G-AOC1M,10-2925-03,CISCO-DELTA,QAOC-40G4F1A01C2,DTS2226A033
SFP-10G/25G-LR-S,10-325101,CISCO-OPLINK,TPP1E2JLRCCISE2G,OPM2219025Q
SFP-10G/25G-LR-S,10-325101,CISCO-OPLINK,TPP1E2JLRCCISE2G,OPM2219025X
GLC-LH-SMD,10-2625-01,CISCO-ACCELINK,RTXM191-507-C88,ACW211200AB
GLC-SX-MMD,10-2626-01,CISCO-FINISAR,FTLF8518P4BNL-CS,FNS224107J3
GLC-SX-MMD,10-2626-01,CISCO-FINISAR,FTLF8518P4BNL-CS,ACW22260AZY
GLC-EX-SMD,10-2624-01,CISCO-ACCELINK,RTXM191-452-C88,ACW20530GVL
GLC-EX-SMD,10-2624-01,CISCO-ACCELINK,RTXM191-452-C88,ACW22250EMR
GLC-GE-SR-LNX,10-3089-01,CISCO-ACCELINK,RTXM191-400-C08,ACW252322RZ
GLC-GE-SR-LNX,10-3089-01,CISCO-ACCELINK,RTXM191-400-C08,ACW252322S3
GLC-ZX-SMD,10-2621-01,CISCO-SUMITOMO,SCP6J94-C5-BMH,SPC171202TH
GLC-ZX-SMD,10-2621-01,CISCO-FINISAR,FTLF1519P1BNL-CS,FNS171409WM
GLC-EX-SMD,10-2624-01,CISCO-ACCELINK,RTXM191-452-C88,ACW22250EN7
SFP-GE-S,10-2143-01,CISCO-AVAGO,QFBR-5762AP,AGM1138L02C
SFP-GE-S,10-2143-01,CISCO-FINISAR,FTLF8519P2BNL-C6,FNS15041BEE
GLC-BX-U,10-2094-02,CISCO-FIBERXON,9612C-SL10G-CIC,FBX13440739
GLC-BX-D,10-2093-01,CISCO-SUMITOMO,SBP6H44-C1-BN-49,ECL102901A6
SFP-GE-S,10-2143-01,CISCO-FINISAR,FTRJ8519P1BNL-C6,FNS11280AME
DWDM-SFP-4851,10-2247-01,CISCO-SUMITOMO,SCP9EA8C7CN-F360,ECL112600LU
DWDM-SFP-4294,10-2233-01,CISCO-SUMITOMO,SCP9EA8-C7-CN,ECL111600BD
GLC-SX-MMD,10-2626-01,CISCO-FINISAR,FTLF8518P4BNL-CS,FNS224107FK
GLC-SX-MMD,10-2626-01,CISCO-AVAGO,SFBR-5716PZ,AGJ2048R1LU
SFP-25G-SR,10-3227-01,CISCO-AVAGO,SFBR-725SMZ-CS1,AVD2132E01B
SFP-25G-SR,10-3227-01,CISCO-AVAGO,SFBR-725SMZ-CS1,AVD2113E080
GLC-EX-SMD,10-2624-01,CISCO,SCP6J54-C5-BMH,SPC1712058Z
SFP-10G-LR-X,10-2632-01,CISCO-SUMITOMO,SPP5310LR-C5-M,SPC223200WQ
SFP-10G-LR-X,10-2632-01,CISCO-SUMITOMO,SPP5310LR-C5-M,SPC223200WK
SFP-10G-LRM,10-2456-01,CISCO-EXCELIGHT,SPP5101LM-C1,ECL130601VH
DWDM-SFP10G-61.41,10-2746-01,CISCO-FUJITSU,FIM35060/201W20,FLJ1751K00J
DWDM-SFP10G-C,10-3036-01,CISCO-JDSU,JST01TMAC1CX5CC2,JFS1938100Y
DWDM-SFP10G-30.33,10-2784-01,CISCO-FUJITSU,FIM35061/201W59,FLJ1933K006
GLC-SX-MMD,10-2626-01,CISCO-ACCELINK,RTXM191-552-C88,ACW22260AZY
GLC-EX-SMD,10-2529-01,CISCO-OPNEXT,TRF5756AMLB002,OPC14037943
SFP-GE-S,10-2143-01,CISCO-AVAGO,AFBR-5715APZ-CS3,AGM1340P275
GLC-BX-D,10-2093-02,CISCO-FIBERXON,9912CSL10GCIC2,FBX17140902
GLC-BX-U,10-2094-01,CISCO-SUMITOMO,SBP6H44-C1-BN-31,ECL111300PD
GLC-EX-SMD,10-2529-01,CISCO-OPNEXT,TRF5756AMLB002,OPC14037986
SFP-10G-AOC3M,10-2847-01,CISCO-AVAGO,AFBR-7CER03Z-CS1,AVE1720K74V
SFP-10G-SR,10-2415-02,CISCO-AVAGO,SFBR-7700SDZ-CS2,AGD131130KZ
SFP-10G-SR,10-2415-03,CISCO-AVAGO,SFBR-7702SDZ-CS4,AGD144444S1
SFP-10G-AOC7M,10-2845-01,CISCO-AVAGO,AFBR-7CER07Z-CS1,AVE1732K2GN
SFP-10G-AOC3M,10-2847-01,CISCO-AVAGO,AFBR-7CER03Z-CS1,AVE1720K74W
SFP-10G-SR,10-2415-02,CISCO-FINISAR,FTLX8571D3BCL-CS,FNS13210J3F
SFP-10G-SR,10-2415-03,CISCO-FINISAR,FTLX8574D3BCL-CS,FNS2335029J
SFP-10G-SR,10-2415-02,CISCO-SUMITOMO,SPP5100SR-C1,SPC144505MY
SFP-10G-SR,10-2415-01,CISCO-EXCELIGHT,SPP5101SR-C1,ECL122101CQ
SFP-10G-SR,10-2415-03,CISCO-SUMITOMO,SPP5300SR-C5,SPC172404L0
SFP-10G-ST,10-2415-02,CISCO-AVAGO,SFBR-7700SDZ-CS2,AGD131130KU
GLC-T,30-1410-02,CISCO-AGILENT,QBCU-5798R,AGS1028L12R
